Vienna,Austria Austria,108.6,Schönbrunn Palace,State Opera,48.2, 16.366667
Zürich,Switzerland Switzerland,108,Paradeplatz,Zürich Museum of Art,47.366667, 8.55
Auckland,New Zealand New Zealand,107.4,Albert Park,Auckland Art Gallery,-36.840556, 174.74
Munich,Germany Germany,107,Englischer Garten,BMW Welt,48.133333, 11.566667,
Vancouver,Canada Canada,107.4,Inukshuk,Vancouver International Film Centre,49.25, -123.1
Düsseldorf,Germany Germany,107.2,Rhine Promenade,Kom(m)ödchen,51.233333, 6.783333
Frankfurt,Germany Germany,107,Palmengarten,Städel,50.116667, 8.683333
Geneva,Switzerland Switzerland,107.9,L'horloge fleurie,Notre-Dame Church,46.2, 6.15
Copenhagen,Denmark Denmark,106.2,Nyhavn,Ny Carlsberg Glyptotek,55.676111, 12.568333
Sydney,Australia Australia,106.3,Royal Botanic Garden,Sydney Opera House,-33.865, 151.209444
Amsterdam,Netherlands Netherlands,105.7,52.366667, 4.9
Wellington,New Zealand New Zealand,105.9,-41.288889, 174.777222
Berlin,Germany Germany,105,Tiergarten,Pergamonmuseum,52.516667, 13.388889
Bern,Switzerland Switzerland,106.5,46.95, 7.45
Toronto,Canada Canada,105.3,43.7, -79.4
Melbourne,Australia Australia,104.8,-37.813611, 144.963056
Ottawa,Canada Canada,105.5,45.416667, -75.683333
Hamburg,Germany Germany,104.1,53.565278, 10.001389
Luxembourg,Luxembourg Luxembourg,104.6,53.565278, 10.001389
Stockholm,Sweden Sweden,104.5,59.329444, 18.068611
Brussels,Belgium Belgium,105.4,50.85, 4.35
Perth,Australia Australia,104.2
Montreal,Canada Canada,104.2
Stuttgart,Germany Germany,103.3
Nuremberg,Germany Germany,103.9
Singapore,Singapore Singapore,103.5
Adelaide,Australia Australia,103
San Francisco,United States United States,103
Canberra,Australia Australia,103.6
Helsinki,Finland Finland,102.6
Oslo,Norway Norway,103.9
Calgary,Canada Canada,103.5
Dublin,Republic of Ireland Ireland,103.6
Boston,United States United States,102.2
Honolulu,United States United States,103.1
Brisbane,Australia Australia,102.4
Paris,France France,102.9
Lyon,France France,101.9
Barcelona,Spain Spain,100.6
London,United Kingdom United Kingdom,101.6
Milan,Italy Italy,100.8
Lisbon,Portugal Portugal,100.3
Chicago,United States United States,100.3
New York,United States United States,100,Central Park,
Tokyo,Japan Japan,101.4
Edinburgh,United Kingdom United Kingdom,
Kobe,Japan Japan,100.8
Seattle,United States United States,99.8
Los Angeles,United States United States,
Yokohama,Japan Japan,100.8
Washington,United States United States,100.3
